# doc_id=0-LST-0001-1 discipline=0 revision=R0
col_0,Plant,col_2,col_3,col_4,Document Register,col_6,col_7,col_8,Standard-0-LST-0001-1-R0,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
,Location,,,,,,,,Client Document Number,,,,,,,,,,,
,Document Number,,,,,,As,WBS,Qty,,,Document Status,,,,,Subcontract Documents,,,
,2.0,BOM,XXXX,65 GAD 2 00 150,Civil Bill of Materials,,,,1.0,,,,,,,,,,,
,2.0,BOM,XXXX,65 GAD 2 50 151,,,,,,,,,,,,,,,,
,,CAL,,,,,,,,,,,,,,,,,,
,2.0,CAL,XXXX,65 GAD 2 00 150,Civil Calculations,,,,1.0,,,,,,,,,,,
,2.0,CAL,XXXX,65 GAD 2 50 151,,,,,,,,,,,,,,,,
,,DTL,,,,,,,,,,,,,,,,,,
,2.0,DTL,XXXX,2-DTL-XXXX,Civil Detail Drawings,,,,1.0,,,,,,,,,,,
,2.0,DTL,XXXX,65 DTL 2 98,,,,,,,,,,,,,,,,
,,GAD,,,,,,,,,,,,,,,,,,
,2.0,GAD,XXXX,2-GAD-XXXX,Civil Plans,,,,1.0,,,,,,,,,,,
,2.0,GAD,XXXX,65 GAD 2 50 151,,,,,,,,,,,,,,,,
,,LST,,,,,,,,,,,,,,,,,,
,2.0,LST,XXXX,65 DTL 2 76,Lists,,,,1.0,,,,,,,,,,,
,2.0,LST,XXXX,78 DTL 2 98,,,,,,,,,,,,,,,,
,,PRC,,,,,,,,,,,,,,,,,,
,2.0,PRC,0002,2-PRC-0002,Civil Works Design and Specification,,,,1.0,,,,,,,,,,,
,2.0,PRC,XXXX,78 DTL 2 98,,,,,,,,,,,,,,,,
,,SPC,,,,,,,,,,,,,,,,,,
,2.0,SPC,XXXX,2-SPC-XXXX,Civil Works Specifications,,,,1.0,,,,,,,,,,,
,2.0,SPC,XXXX,00 PLN 2 03 541,,,,,,,,,,,,,,,,
,,,,,Subtotal    2 - Civil and Site Preparation,,,,7.0,,,,,,,,,,,
,3.0,,,,3 - Structural and Buildings,,,,,,,,,,,,,,,
,,BOM,,,,,,,,,,,,,,,,,,
,3.0,BOM,XXXX,65 GAD 3 01 152,Structural Bill of Materials,,,,1.0,,,,,,,,,,,
,3.0,BOM,XXXX,65 GAD 3 02 153,,,,,,,,,,,,,,,,
,,CAL,,,,,,,,,,,,,,,,,,
,3.0,CAL,XXXX,65 GAD 3 01 152,Strcutural Calculations,,,,1.0,,,,,,,,,,,
,3.0,CAL,XXXX,65 GAD 3 03 154,,,,,,,,,,,,,,,,
,,DTL,,,,,,,,,,,,,,,,,,
,3.0,DTL,XXXX,3-DTL-XXXX,Sturctural Details,,,,1.0,,,,,,,,,,,
,3.0,DTL,XXXX,65 SCR 3 00 610,,,,,,,,,,,,,,,,
,,GAD,,,,,,,,,,,,,,,,,,
,3.0,GAD,XXXX,3-GAD-XXXX,Structural Plans,,,,1.0,,,,,,,,,,,
,3.0,GAD,XXXX,65 GAD 3 02 153,,,,,,,,,,,,,,,,
,,LST,,,,,,,,,,,,,,,,,,
,3.0,LST,0001,65 SCR 3 00 609,Structures List,,,,1.0,,,,,,,,,,,
,3.0,LST,XXXX,65 SCR 3 00 610,,,,,,,,,,,,,,,,
,,PRC,,,,,,,,,,,,,,,,,,
,3.0,PRC,0001,3-PRC-0001,Structural and Architectural Design Criteria,,,,1.0,,,,,,,,,,,
,3.0,PRC,0002,3-PRC-0002,Structural and Architectural Design and Specification,,,,1.0,,,,,,,,,,,
,,REQ,,,,,,,,,,,,,,,,,,
,3.0,REQ,XXXX,65 SCR 3 00 609,Strcutural Requisitiojns,,,,1.0,,,,,,,,,,,
,3.0,REQ,XXXX,65 SCR 3 00 610,,,,,,,,,,,,,,,,
,,SPC,,,,,,,,,,,,,,,,,,
,3.0,SPC,XXXX,3-SPC-XXXX,Structural and Achitectural Works Specifications,,,,1.0,,,,,,,,,,,
,3.0,SPC,XXXX,65 SCR 3 00 610,,,,,,,,,,,,,,,,
,,TAB,,,,,,,,,,,,,,,,,,
,3.0,TAB,XXXX,65 SCR 3 00 609,Structural Bid Tabs,,,,1.0,,,,,,,,,,,
,3.0,TAB,XXXX,65 SCR 3 00 610,,,,,,,,,,,,,,,,
,,VDR,,,,,,,,,,,,,,,,,,
,3.0,VDR,XXXX,3-VDR-XXXX,Vendor Data Requirements,,,,1.0,,,,,,,,,,,
,3.0,VDR,XXXX,00 SPC 4 03 555,,,,,,,,,,,,,,,,
,,,,,Subtotal    3 - Structural and Buildings,,,,11.0,,,,,,,,,,,
,4.0,,,,4 - Equipment,,,,,,,,,,,,,,,
,,CAL,,,,,,,,,,,,,,,,,,
,4.0,CAL,XXXX,4-CAL-0001,Equipemnt Calculations,,,,1.0,,,,,,,,,,,
,4.0,CAL,XXXX,4-CAL-XXXX,,,,,,,,,,,,,,,,
,,DST,,,,,,,,,,,,,,,,,,
,4.0,DST,XXXX,4-DST-XXXX,Equipment Data Sheets,,,,1.0,,,,,,,,,,,
,4.0,DST,XXXX,4-DST-XXXX,,,,,,,,,,,,,,,,
,,DTL,,,,,,,,,,,,,,,,,,
,4.0,DTL,XXXX,4-DTL-XXXX,Equipment Detail Drawings,,,,1.0,,,,,,,,,,,
,4.0,DTL,XXXX,4-DTL-XXXX,,,,,,,,,,,,,,,,
,,GAD,,,,,,,,,,,,,,,,,,
,4.0,GAD,XXXX,00 GAD 4 01 30,Equipment General Arrangements,,,,1.0,,,,,,,,,,,
,4.0,GAD,XXXX,65 GAD 4 00 157,,,,,,,,,,,,,,,,
,,LST,,,,,,,,,,,,,,,,,,
,4.0,LST,0001,4-LST-0001,Equipment List,,,,1.0,,,,,,,,,,,
,4.0,LST,0002,4-LST-0002,Equipment Installation List,,,,1.0,,,,,,,,,,,
,4.0,LST,0003,4-LST-0003,Pump List,,,,1.0,,,,,,,,,,,
,4.0,LST,0004,4-LST-0004,Mechanical Equipment Check-out List,,,,1.0,,,,,,,,,,,
,4.0,LST,XXXX,4-LST-0101,,,,,,,,,,,,,,,,
,,OTL,,,,,,,,,,,,,,,,,,
,4.0,OTL,XXXX,65 OTL 4 51 187,Equipment Outline Drawings,,,,1.0,,,,,,,,,,,
,4.0,OTL,XXXX,65 OTL 4 51 186,,,,,,,,,,,,,,,,
,,PDS,,,,,,,,,,,,,,,,,,
,4.0,PDS,XXXX,4-PDS-7539,Equipment Process Data Sheets,(if used),,,1.0,,,,,,,,,,,
,4.0,PDS,XXXX,4-PDS-XXXX,,,,,,,,,,,,,,,,
,,PKG,,,,,,,,,,,,,,,,,,
,4.0,PKG,XXXX,4-PDS-XXXX,Equipment Package Data Sheets,,,,,,,,,,,,,,,
,4.0,PKG,XXXX,4-PKG-XXXX,,,,,,,,,,,,,,,,
,,PRC,,,,,,,,,,,,,,,,,,
,4.0,PRC,0001,4-PRC-0001,Plant Equipment Identification,,,,1.0,,,,,,,,,,,
