# doc_id=5-LST-0003-1 discipline=5 revision=R0
col_0,Client Name,col_2,col_3,col_4,"Piping Service List
(Chemical Plant)",col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,"Aker Kvaerner Chemetics
A Division of Aker Kvaerner Canada Inc.",col_16,col_17,col_18,col_19
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7211,80,200,,SC
,DIL,"Sodium Dichromate, Solution",,316L Stainless Steel,N,Hydro,Yes,0,200 - 400,amb,1034 @ 204,S63,C,,,,,,SC
,DRC,"Drain, Chemical",,"PVC
(low temp)",N,Hydro **,No,0,atm,amb - 60,"1034 @ 32
345 @ 60
*",PV6,C,,,,,"* Service Limits vary with temp.
** Per 5-SPC-0102, lines open to atm will not be tested unless specified (on Line List).",CA
,,,,"CPVC
(high temp)",N,Hydro **,No,0,atm,60 - 90,"1034 @ 38
234 @ 98
*",CP3,C,,,,,"* Service Limits vary with temp.
** Per 5-SPC-0102, lines open to atm will not be tested unless specified (on Line List).",CA
,DRF,"Drain, Floor",,"PVC
(low temp)",N / D,Hydro ** / Service,No,0,atm,amb - 60,"1034 @ 32
345 @ 60
*",PV6,C,,,,,"* Service Limits vary with temp.
** Per 5-SPC-0102, lines open to atm will not be tested unless specified (on Line List).",CA
,,,,"CPVC
(high temp)",N / D,Hydro ** / Service,No,0,atm,60 - 90,"1034 @ 38
234 @ 98
*",CP3,C,,,,,"* Service Limits vary with temp.
** Per 5-SPC-0102, lines open to atm will not be tested unless specified (on Line List).",CA
,DRN,"Drain, Neutral",,"PVC
(low temp)",N / D,Hydro ** / Service,No,0,atm,amb - 60,"1034 @ 32
345 @ 60
*",PV6,D,,,,,"* Service Limits vary with temp.
** Per 5-SPC-0102, lines open to atm will not be tested unless specified (on Line List).",CA
,,,,"CPVC
(high temp)",N / D,Hydro ** / Service,No,0,atm,60 - 90,"1034 @ 38
234 @ 98
*",CP3,D,,,,,"* Service Limits vary with temp.
** Per 5-SPC-0102, lines open to atm will not be tested unless specified (on Line List).",CA
,EA,"Effluent, Acid",pH<4,"PVC
(low temp)",N,Hydro,No,0,atm - 300,amb - 60,"1034 @ 32
345 @ 60
*",PV6,C,On-Off / Isolation (ball),V1356,15,50,* Service Limits vary with temp.,CA
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1256,25,80,,CA
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2864,100,400,,CA
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3261,20,80,,CA
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3352,15,50,,CA
,,,,,,,,,,,,,,Check (ball),V4356,25,50,,CA
,,,,,,,,,,,,,,Check (ball),V4256,80,100,,CA
,,,,,,,,,,,,,,On-Off / Isolation / Tank Drain (plug),V5261,50,200,Valve not for PE tanks.,CA
,,,,"CPVC
(high temp)",N,Hydro,No,0,atm - 300,60 - 90,"1034 @ 38
234 @ 98
*",CP3,C,On-Off / Isolation (ball),V1357,15,50,* Service Limits vary with temp.,CA
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1257,25,80,,CA
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2864,100,400,,CA
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3261,20,80,,CA
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3353,15,50,,CA
,,,,,,,,,,,,,,Check (ball),V4357,25,50,,CA
,,,,,,,,,,,,,,Check (ball),V4257,80,100,,CA
,,,,,,,,,,,,,,On-Off / Isolation / Tank Drain (plug),V5261,50,200,Valve not for PE tanks.,CA
,EC,"Effluent, Alkaline",pH>10,"PVC
(low temp)",N,Hydro,No,0,atm - 300,amb - 60,"1034 @ 32
345 @ 60
*",PV6,C,On-Off / Isolation (ball),V1352,15,50,* Service Limits vary with temp.,CA
