# doc_id=5-SPC-0004 discipline=5 revision=R1
col_0,Client Name,col_2,col_3,col_4,Specification,col_6,col_7,col_8,col_9,col_10,"Aker Kvaerner
Chemetics
A Division of Aker Kvaerner Canada Inc.",col_12,col_13,col_14,col_15
,V2864,Butterfly,"Flanged B16.5
150# RF",Plastic Lined,"150#, lug tapped, butterfly valve.  Cast iron body, epoxy coated.  PTFE moulded metal disc and stem. PTFE seat with EPDM backup elastomer",Bray,21/128,,,,50 to 500,,,Bray,21/128
,V2866,Butterfly,"Flanged B16.5
150# RF",Plastic Lined,"150#, lug tapped, hi-performance, butterfly valve.  Ductile iron body, epoxy coated. PFA encapsulated metal disc. PTFE seat with Viton backup elastomer",Durco,BTL-480/1-V,,,CWP 150,"50 to 150
200 to 500",,,"Neotecha
Neotecha","SP1BP3GF1-Z
SP1BP3GF1-G"
,V2868,Butterfly,"Flanged B16.5
150# RF",Plastic Lined,"CWP 150, tapped lug, hi-performance, butterfly valve.  Ductile iron body, epoxy coated. PFA encapsulated metal disc. PFA seat with Viton backup elastomer.",AMRI,Acris IL-31KF-S9,,,CWP150,25 to 600,,,AMRI,Acris IL-31KF-S9
,V3251,Diaphragm,"Flanged B16.5
150# FF",Plastic,"150#, FF weir type diaphragm valve.  Polypropylene body, EPDM backed teflon diaphragm.  Indicating stem.",Chemline,DVBxxxPF,Reduced,,CWP150,15 to 250,,,Chemline,DVBxxxPF
,V3252,Diaphragm,"Flanged B16.5
150# FF",Plastic,"150#, FF weir type diaphragm valve.  PVC body.  EPDM backed teflon diaphragm.  Indicating stem.",Chemline,DVAxxxPF,Reduced,,CWP150,15 to 250,,,Chemline,DVAxxxPF
,V3253,Diaphgram,"Flanged B16.5
150# FF",Plastic,"150#, FF weir type diaphragm valve.  CPVC body.  EPDM backed teflon diaphragm.  Indicating stem.",Chemline,DVCxxxPF,Reduced,,CWP150,15 to 150,,,Chemline,DVCxxxPF
,V3254,Diaphragm,"Flanged B16.5
150# FF",Plastic,"150#, FF, weir type diaphragm valve.  PVDF body, EPDM backed teflon diaphragm.  Indicating stem.",Chemline,DVKxxxPF,Reduced,,CWP150,15 to 250,,,Chemline,DVKxxxPF
,V3255,Diaphragm,"Flanged B16.5
150# FF",Plastic,"150#, FF, weir type diaphragm valve.  Polypropylene body. EPDM diaphragm.  Indicating stem.",Chemline,DVBxxxEF,Reduced,,CWP150,15 to 250,,,Chemline,DVBxxxEF
,V3256,Diaphragm,"Flanged B16.5
150# FF",Plastic,"150#, FF, weir type diaphragm valve.  PVC body.  EPDM diaphragm.  Indicating stem.",Chemline,DVAxxxEF,Reduced,,CWP150,15 to 250,,,Chemline,DVAxxxEF
,V3257,Diaphragm,"Flanged B16.5
150# FF",Plastic,"150#, FF, weir type diaphragm valve.  CPVC body, EPDM diaphragm.  Indicating stem.",Chemline,DVCxxxEF,Reduced,,CWP150,15 to 150,,,Chemline,DVCxxxEF
