# doc_id=5-LST-0004 discipline=5 revision=R0
col_0,Client Name,col_2,col_3,col_4,"Piping Service List
(Utilities)",col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,"Aker Kvaerner Chemetics
A Division of Aker Kvaerner Canada Inc.",col_16,col_17,col_18
,Project Title,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Standard-5-LST-0003-R0,,,
,Service Code,Fluid,Fluid Composition,Material Description / Application,ASME B31.3 Fluid Class,Pressure Test Method,Flange Guard,"Corr. Allow.
(mm)","Service Pres.
(kPag)","Service Temp.
(oC)","Pipe Spec Service Limit
(kPag @ oC)",Pipe Spec,Gasket Spec,Valve Application,Valve Code,"Valve Size
(Min)","Valve Size
(Max)",Notes
,AC,"Air, Compressed
(Plant / Mill Air)",,"Carbon Steel, Galvanised",D,Service,No,0,600 - 800,Amb,1034 @ 177,CS4,B,On-Off / Isolation (ball),V1112,15,50,"For SS valves use V1131, V1132 for instr isolation / free ends."
,WSS,"Water, Sea Supply",,FRP,D,Service,No,2.5,400 - 600,20 - 30,1034 @ 93,FR5,U or D,On-Off / Isolation (ball),V1259,40,200,
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm),V3264,15,100,
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2863,50,500,
,,,,,,,,,,,,,,On-Off / Isolation (plug),V5261,15.0,50,
,WSR,"Water, Sea Return",,FRP,D,Service,No,2.5,400 - 600,30 - 40,1034 @ 93,FR5,U or D,On-Off / Isolation (ball),V1259,40,200,
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm),V3264,15,100,
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2863,50,500,
,,,,,,,,,,,,,,On-Off / Isolation (plug),V5261,15.0,50,
,WTS,"Water, Tempered Supply",,"Carbon Steel, Galvanized",D,Service,No,0,400 - 600,25,1034 @ 177,CS4,B,On-Off / Isolation (ball),V1112,15,50,"For SS valves use V1131, V1132 for instr isolation / free ends."
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1211,80,100,For SS valve use V1231.
,,,,,,,,,,,,,,Throttling (globe),V8121,15,50,For SS valve use V8131.
,,,,PVC,D,Service,No,0,400 - 600,25,"1034 @ 32
345 @ 60
*",PV6,D,On-Off / Isolation (ball),V1352,15,50,* Service Limits vary with temp.
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1252,80,80,
,WTR,"Water, Tempered Return",,"Carbon Steel, Galvanized",D,Service,No,0,400 - 600,25,1034 @ 177,CS4,B,On-Off / Isolation (ball),V1112,15,50,"For SS valves use V1131, V1132 for instr isolation / free ends."
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1211,80,100,For SS valve use V1231.
,,,,,,,,,,,,,,Throttling (globe),V8121,15,50,For SS valve use V8131.
,,,,PVC,D,Service,No,0,400 - 600,25,"1034 @ 32
345 @ 60
*",PV6,D,On-Off / Isolation (ball),V1352,15,50,* Service Limits vary with temp.
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1252,80,80,
