# doc_id=0-LST-4007 discipline=0 revision=R0
"Primary
Code",col_1,Work Code,Cost Code Description,UOM,"Cost 
Type",Comments,col_7,col_8
,0826,,"Slab on Grade
(All costs for Slab on Grade, including Material and Labor costs for concrete, forms, rebars, anchor bolts, embeded steel, expension joint, water stop, vapor barrier and costs for excavation and backfill)",LS,"L,M,U,S,V",,x,
,0826,,Concrete,CY/CM,,,,
,0826,,Forms,SF/SM,,,,
,0826,,Rebar,LB/KG,,,,
,0826,,Anchor Bolts and Embedded Steel,LB/KG,,,,
,0826,,"Expansion Joint, Waterstop, Vapor Barrier",LF/LM,,,,
,0826,,"Excavation (See structural excavation, 0200, as alternative coding)",CY/CM,,,,
,0826,,"Backfill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0826,,"Purchased fill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0827,,"Mats
(All costs for Mats, including Material and Labor costs for concrete, forms, rebars, anchor bolts, embeded steel, expension joint, water stop, vapor barrier and costs for excavation and backfill)",LS,"L,M,U,S,V",,x,
,0827,,Concrete,CY/CM,,,,
,0827,,Forms,SF/SM,,,,
,0827,,Rebar,LB/KG,,,,
,0827,,Anchor Bolts and Embedded Steel,LB/KG,,,,
,0827,,"Expansion Joint, Waterstop, Vapor Barrier",LF/LM,,,,
,0827,,"Excavation (See structural excavation, 0200, as alternative coding)",CY/CM,,,,
,0827,,"Backfill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0827,,"Purchased fill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
0800,,,CONCRETE - Continued  (HEADER ONLY),,,,,
,0828,,"Walls
(All costs for Walls, including Material and Labor costs for concrete, forms, rebars, anchor bolts, embeded steel, expension joint, water stop, vapor barrier and costs for excavation and backfill)",LS,"L,M,U,S,V",,x,
,0828,,Concrete,CY/CM,,,,
,0828,,Forms,SF/SM,,,,
,0828,,Rebar,LB/KG,,,,
,0828,,Anchor Bolts and Embedded Steel,LB/KG,,,,
,0828,,"Expansion Joint, Waterstop, Vapor Barrier",LF/LM,,,,
,0828,,"Excavation (See structural excavation, 0200, as alternative coding)",CY/CM,,,,
,0828,,"Backfill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0828,,"Purchased fill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0829,,"Trenches & Sumps
(All costs for Trenches & Sumps, including Material and Labor costs for concrete, forms, rebars, anchor bolts, embeded steel, expension joint, water stop, vapor barrier and costs for excavation and backfill)",LS,"L,M,U,S,V",,x,
,0829,,Concrete,CY/CM,,,,
,0829,,Forms,SF/SM,,,,
,0829,,Rebar,LB/KG,,,,
,0829,,Anchor Bolts and Embedded Steel,LB/KG,,,,
,0829,,"Expansion Joint, Waterstop, Vapor Barrier",LF/LM,,,,
,0829,,"Excavation (See structural excavation, 0200, as alternative coding)",CY/CM,,,,
,0829,,"Backfill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0829,,"Purchased fill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0830,,"Ring Wall Foundations
(All costs for Ring Wall Foundations, including Material and Labor costs for concrete, forms, rebars, anchor bolts, embeded steel, expension joint, water stop, vapor barrier and costs for excavation and backfill)",LS,"L,M,U,S,V",,x,
,0830,,Concrete,CY/CM,,,,
,0830,,Forms,SF/SM,,,,
,0830,,Rebar,LB/KG,,,,
,0830,,Anchor Bolts and Embedded Steel,LB/KG,,,,
,0830,,"Expansion Joint, Waterstop, Vapor Barrier",LF/LM,,,,
,0830,,"Excavation (See structural excavation, 0200, as alternative coding)",CY/CM,,,,
,0830,,"Backfill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0830,,"Purchased fill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
0800,,,CONCRETE - Continued  (HEADER ONLY),,,,,
,0831,,"Elevated Slabs
(All costs for Elevated Slabs, including Material and Labor costs for concrete, forms, rebars, anchor bolts, embeded steel, expension joint, water stop, vapor barrier and costs for excavation and backfill)",LS,"L,M,U,S,V",,x,
,0831,,Concrete,CY/CM,,,,
,0831,,Forms,SF/SM,,,,
,0831,,Rebar,LB/KG,,,,
,0831,,Anchor Bolts and Embedded Steel,LB/KG,,,,
,0831,,"Expansion Joint, Waterstop, Vapor Barrier",LF/LM,,,,
,0832,,"Elevated Columns, Beams, Girders
(All costs for Elevated columns, beams, girders, including Material and Labor costs for concrete, forms, rebars, anchor bolts, embeded steel, expension joint, water stop, vapor barrier and costs for excavation and backfill)",LS,"L,M,U,S,V",,x,
,0832,,Concrete,CY/CM,,,,
,0832,,Forms,SF/SM,,,,
,0832,,Rebar,LB/KG,,,,
,0832,,Anchor Bolts and Embedded Steel,LB/KG,,,,
