# doc_id=4-LST-0101 discipline=4 revision=R0
Equipment,Equipment_1,Comments
6070H,Hydrogen Cooler (Chlorate),
6074C,Hydrogen Compressor,
6075T,Hydrogen Separator,
6076H,Hydrogen Compressor After Cooler,
6077T,Condensate Tank,
6078P,H2 Condensate Transfer Pump,
6079P,H2 Condensate Recycle Pump,
6080X,Hydrogen Flame Arrestor,
6082P,H2 Condensate Pump,
6085U,H2 Condensate Treatment Column,
6095X,Hydrogen Stack Silencer,
6096U,Hydrogen Quench Tower,
6097P,Hydrogen Quench Tower Pump,
6098H,Hydrogen Quench Tower Cooler,
Area 61,Hydrogen Peroxide,
6101T,Hydrogen Peroxide Storage Tank,
6102P,Hydrogen Peroxide Metering Pump (Liquor Treatment),
6103P,Hydrogen Peroxide Metering Pump (Hydrogen Treatment),
6104P,Hydrogen Peroxide Metering Pump (Sulphate Treatment),
6105P,Hydrogen Peroxide Metering Pump (Condensate Treatment),
6110P,Hydrogen Peroxide Supply Pump,
6115T,Dilute Hydrogen Peroxide Tank,
6116A,Hydrogen Peroxide Agitator,
6117P,Dilute Hydrogen Peroxide Feed Pump,
6120P,Hydrogen Peroxide Transfer Pump,
Area 62,Sodium Chlorate Liquor (Treatment and Storage),
6201T,Retention Tank,
6202P,Chlorate Transfer Pump,
6203T,Treatment Tank,
6204T,Disengagement Pot,
6205H,Chlorate Liquor Heater,
6206T,Chlorate Liquor Holding Tank,
6207U,Fume Scrubber,
6208T,Chlorate Liquor Storage Tank,
6209H,Chlorate Liquor Storage Tank Heater,
6210U,Fume Guard Scrubber,
6211P,Holding Tank Pump,
6212P,Crystallizer Feed Pump,
6215P,Chlorate Liquor Loading Pump,
6216K,Chlorate Filter,
6217T,Chlorate Filter Precoat Tank,
6218A,Chlorate Filter Precoat Agitator,
6219P,Chlorate Filter Precoat Pump,
6220H,Strong Chlorate Cooler,
6221T,Strong Chlorate Feed Tank,
6222P,Strong Chlorate Feed Pump,
6225X,Chlorate Filter Hoist,
6228K,Strong Chlorate Filter (sock type),
6230K,Strong Chlorate Filter (hydrashoc type),
6231T,Filter Wash Tank,
6240H,Strong Chlorate Chiller,
6250T,Strong Chlorate Head Tank,
6276T,Sodium Sulphite Mix Tank,
6277A,Sodium Sulphite Agitator,
6278T,Sodium Sulphite Storage Tank,
6279P,Sodium Sulphite Pump,
6280T,Ammonia Storage Tank,
6281H,Ammonia Vaporizer,
Area 63,Chlorate Crystallization,
6301J,Crystallizer,
6302A,Crystallizer Agitator,
6303P,Crystallizer Circulation Pump,
6304V,Booster Ejector,
6305H,Crystallizer Condenser,
6306V,1st Stage Ejector,
6307H,Interstage Condenser,
6308V,2nd Stage Ejector,
6309H,After Condenser,
6310T,Hotwell,
6311P,Hotwell Pump,
6312T,Process Condensate Tank,
6313P,Process Condensate Pump,
6314P,Condenser Circulation Pump,
6315H,Condensate Cooler,
6320P,Crystallizer Mother Liquor Pump (Fines Destruct),
6321H,Fines Destruct Heater,
6325P,Crystallizer Mother Liquor Return Pump,
6331P,Crystallizer Slurry Pump,
Area 64,Sulphate Removal,
6401J,Sulphate Crystallizer,
6402H,Sulphate Crystallizer Cooler,
6403P,Sulphate Crystallizer Circulation Pump,
